Name of Program,Weeks Duration,Hours,FullTime,Part Time,Type,Tuition,Active,Category,Without Type,URL,JSON,SMORG,
Marketing Administrative Assistant Certificate,38,950,Yes,Yes,Certificate,10655 ,Yes,Marketing,MARKETING ADMINISTRATIVE ASSISTANT,marketing_administrative_assistant,marketing_administrative_assistant_programdata.json,marketing_administrative_assistant_certificate.pdf,
Marketing Coordinator Diploma,48,1200,Yes,Yes,Diploma,14242 ,Yes,Marketing,MARKETING COORDINATOR,marketing_coordinator,marketing_coordinator_programdata.json,marketing_coordinator_diploma.pdf,
Medical Administrative Assistant Certificate,44,1100,Yes,Yes,Certificate,10875 ,Yes,Healthcare,MEDICAL ADMINISTRATIVE ASSISTANT,medical_administrative_assistant,medical_administrative_assistant_programdata.json,medical_administrative_assistant_certificate.pdf,
Medical Office Assistant Diploma,51,1275,Yes,No,Diploma,14133 ,Yes,Healthcare,MEDICAL OFFICE ASSISTANT,medical_office_assistant,medical_office_assistant_programdata.json,medical_office_assistant_diploma.pdf,
Medical Office Assistant Diploma W/ Unit Clerk,66,1650,Yes,No,Diploma,16455 ,Yes,Healthcare,MEDICAL OFFICE ASSISTANT W/ UNIT CLERK,medical_office_assistant_with_unit_clerk,medical_office_assistant_with_unit_clerk_programdata.json,medical_office_assistant_with_unit_clerk_diploma.pdf,
Medical Office Front Desk Assistant Certificate,29,725,Yes,Yes,Certificate,7048 ,No,Healthcare,MEDICAL OFFICE FRONT DESK ASSISTANT,medical_office_front_desk_assistant,medical_office_front_desk_assistant_programdata.json,medical_office_front_desk_assistant_certificate.pdf,
Microsoft Certified Solutions Associate: Server Cert.,21,525,Yes,Yes,Certificate,5624 ,Yes,IT,MICROSOFT CERTIFIED SOLUTIONS ASSOCIATE: SERVER CERT.,microsoft_certified_solutions_associate_server_certification,microsoft_certified_solutions_associate_server_certification_programdata.json,microsoft_certified_solutions_associate_server_certification_certificate.pdf,
Microsoft Certified Solutions Associate: Windows,21,525,Yes,Yes,Certificate,5624 ,No,IT,MICROSOFT CERTIFIED SOLUTIONS ASSOCIATE: WINDOWS,microsoft_certified_solutions_associate_windows,microsoft_certified_solutions_associate_windows_programdata.json,microsoft_certified_solutions_associate_windows_certificate.pdf,
Network Administrator Diploma,88,2200,Yes,Yes,Diploma,20916 ,Yes,IT,NETWORK ADMINISTRATOR,network_administrator,network_administrator_programdata.json,network_administrator_diploma.pdf,
Office Administration Assistant Certificate,24,600,Yes,Yes,Certificate,6296 ,Yes,Business,OFFICE ADMINISTRATION ASSISTANT,office_administration_assistant,office_administration_assistant_programdata.json,office_administration_assistant_certificate.pdf,
Office Administration Diploma,54,1350,Yes,Yes,Diploma,14251 ,Yes,Business,OFFICE ADMINISTRATION,office_administration,office_administration_programdata.json,office_administration_diploma.pdf,
Office Clerk Certificate,22,550,Yes,No,Certificate,5487 ,Yes,Business,OFFICE CLERK,office_clerk,office_clerk_programdata.json,office_clerk_certificate.pdf,
Payroll Administrator Certificate,38,950,Yes,Yes,Certificate,10882 ,Yes,Accounting,PAYROLL ADMINISTRATOR,payroll_administrator,payroll_administrator_programdata.json,payroll_administrator_certificate.pdf,
Payroll Clerk Certificate,27,675,Yes,Yes,Certificate,7656 ,Yes,Accounting,PAYROLL CLERK,payroll_clerk,payroll_clerk_programdata.json,payroll_clerk_certificate.pdf,
PC Support Specialist Diploma,59,1475,Yes,Yes,Diploma,13604 ,Yes,IT,PC SUPPORT SPECIALIST,pc_support_specialist,pc_support_specialist_programdata.json,pc_support_specialist_diploma.pdf,
Project Administration Diploma,51,1275,Yes,Yes,Diploma,14175 ,Yes,Business,PROJECT ADMINISTRATION,project_administration,project_administration_programdata.json,project_administration_diploma.pdf,
PSA - Computerized Office Skills Certificate,12,300,Yes,Yes,Certificate,3471 ,No,Business,PSA - COMPUTERIZED OFFICE SKILLS,psa_computerized_office_skills,psa_computerized_office_skills_programdata.json,psa_computerized_office_skills_certificate.pdf,
Sales Associate Certificate,21,525,Yes,Yes,Certificate,5651 ,Yes,Business,SALES ASSOCIATE,sales_associate,sales_associate_programdata.json,sales_associate_certificate.pdf,
Sales Professional Diploma,43,1075,Yes,Yes,Diploma,11787 ,Yes,Business,SALES PROFESSIONAL,sales_professional,sales_professional_programdata.json,sales_professional_diploma.pdf,
Software And Web Developer Diploma,48,1200,Yes,Yes,Diploma,17063 ,Yes,Graphic Design and Coding,SOFTWARE AND WEB DEVELOPER,software_and_web_developer,software_and_web_developer_programdata.json,software_and_web_developer_diploma.pdf,
Web Designer Diploma,60,1500,Yes,Yes,Diploma,17114 ,Yes,Graphic Design and Coding,WEB DESIGNER,web_designer,web_designer_programdata.json,web_designer_diploma.pdf,
Web Developer Diploma,30,750,Yes,Yes,Diploma,10774 ,No,Graphic Design and Coding,WEB DEVELOPER,web_developer,web_developer_programdata.json,web_developer_diploma.pdf,
